year,genre,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1999,rock,70.16666666666667,233166.33333333334,0.632,0.7731666666666667,-5.024,0.0647,0.03506333333333333,0.00039463333333333335,0.17323333333333332,0.5941666666666667,118.056
2000,rock,69.5,230701.83333333334,0.5448333333333334,0.8616666666666667,-5.300166666666667,0.0443,0.022647833333333336,0.0005379666666666667,0.24616666666666664,0.5391666666666667,109.56299999999999
2001,rock,56.916666666666664,240868.66666666666,0.5670000000000001,0.81975,-4.933083333333333,0.053125,0.03128441666666667,0.0023815591666666667,0.2146,0.5713666666666667,133.40908333333334
2002,rock,73.11111111111111,256619.88888888888,0.5522222222222222,0.8175555555555555,-5.4686666666666675,0.05204444444444444,0.145173,0.025728636666666665,0.15814444444444445,0.4613333333333334,126.05822222222221
2003,rock,56.07692307692308,209978.07692307694,0.5680000000000001,0.7935384615384614,-5.232230769230769,0.049938461538461536,0.019104476923076923,0.1022008023076923,0.23643846153846154,0.5806153846153846,125.9046923076923
2004,rock,69.8,217762.0,0.4328,0.8248000000000001,-4.8628,0.05482,0.0183792,0.1183208,0.19746,0.5272,134.3098
2005,rock,66.8125,228752.9375,0.4825,0.905875,-4.1113125,0.0616125,0.0243793125,0.003561003125,0.28038125,0.488,144.514375
2006,rock,71.0,232032.91666666666,0.4753333333333334,0.8285833333333333,-4.021416666666666,0.07801666666666666,0.059060749999999995,0.0012776958333333332,0.20535833333333334,0.59025,116.28408333333334
2007,rock,69.3125,213452.1875,0.5029375,0.9104375,-3.86475,0.06468125,0.03153459375,0.000406685,0.19628125000000002,0.520375,139.586
2008,rock,70.9090909090909,217603.18181818182,0.555,0.8017272727272728,-5.4354545454545455,0.043218181818181815,0.0387037909090909,0.020431886363636364,0.11518181818181819,0.4537272727272727,120.36036363636363
2009,rock,61.5,237141.25,0.52525,0.818375,-5.146125,0.046175,0.08377225,0.15687500000000001,0.195525,0.4075,134.783625
2010,rock,64.0,212306.0,0.482,0.829,-5.576,0.0437,0.00034,0.0,0.378,0.739,147.99
2011,rock,71.5,246899.8,0.5277999999999999,0.7304999999999999,-5.4066,0.03612,0.0283742,0.01585153,0.12940000000000002,0.45459999999999995,126.1578
2012,rock,75.83333333333333,213035.16666666666,0.5153333333333333,0.7719999999999999,-4.7156666666666665,0.06626666666666667,0.07503333333333333,0.00022009666666666667,0.2781,0.492,132.7326666666667
2013,rock,82.0,215185.75,0.60225,0.7235,-5.30625,0.041675,0.077725,0.004494405,0.23975000000000002,0.5425,113.26925
2014,rock,80.0,236073.0,0.5145,0.7030000000000001,-6.584,0.0329,0.218585,0.000985,0.18,0.336,113.312
2015,rock,67.11111111111111,232337.66666666666,0.5613333333333332,0.6882222222222222,-6.156888888888889,0.09394444444444444,0.17445111111111108,0.01705186888888889,0.14954444444444445,0.4811111111111111,113.64633333333333
2016,rock,38.0,202630.5,0.65425,0.5955,-6.128,0.094525,0.11777499999999999,8.95e-06,0.12304999999999999,0.56425,118.14574999999999
2017,rock,35.5,195561.33333333334,0.6688333333333333,0.7301666666666667,-4.866666666666666,0.062,0.06628833333333334,0.057000296666666665,0.13883333333333334,0.54,123.63216666666666
2018,rock,78.66666666666667,202956.5,0.6986666666666667,0.6183333333333333,-5.874333333333333,0.06111666666666667,0.3642,0.0001425,0.10736666666666667,0.5425,118.23516666666667
